season,episode_number,air_date,count
2,195,2015-09-03T00:00:00-07:00,6
2,196,2015-09-04T00:00:00-07:00,8
2,197,2015-09-08T00:00:00-07:00,8
2,198,2015-09-09T00:00:00-07:00,5
2,199,2015-09-10T00:00:00-07:00,8
2,200,2015-09-11T00:00:00-07:00,15
2,201,2015-09-14T00:00:00-07:00,4
2,202,2015-09-15T00:00:00-07:00,8
2,203,2015-09-16T00:00:00-07:00,11
2,204,2015-09-17T00:00:00-07:00,2
2,205,2015-09-18T00:00:00-07:00,1
3,1,2015-09-21T00:00:00-07:00,6
3,2,2015-09-22T00:00:00-07:00,2
3,3,2015-09-23T00:00:00-07:00,1
3,4,2015-09-24T00:00:00-07:00,3
3,5,2015-09-25T00:00:00-07:00,3
3,6,2015-09-28T00:00:00-07:00,1
3,7,2015-09-29T00:00:00-07:00,3
3,8,2015-09-30T00:00:00-07:00,10
3,9,2015-10-01T00:00:00-07:00,5
3,10,2015-10-02T00:00:00-07:00,3
3,11,2015-10-05T00:00:00-07:00,5
3,12,2015-10-06T00:00:00-07:00,6
3,13,2015-10-07T00:00:00-07:00,3
3,14,2015-10-08T00:00:00-07:00,2
3,15,2015-10-09T00:00:00-07:00,1
3,16,2015-10-12T00:00:00-07:00,0
3,17,2015-10-13T03:35:00-07:00,1
3,18,2015-10-14T00:00:00-07:00,5
3,19,2015-10-15T00:00:00-07:00,2
3,20,2015-10-16T00:00:00-07:00,0
3,21,2015-10-26T00:00:00-07:00,1
3,22,2015-10-27T00:00:00-07:00,3
3,23,2015-10-28T00:00:00-07:00,2
3,24,2015-10-29T00:00:00-07:00,1
3,25,2015-10-30T00:00:00-07:00,17
3,26,2015-11-02T00:00:00-08:00,3
3,27,2015-11-03T00:00:00-08:00,7
3,28,2015-11-04T00:00:00-08:00,3
3,29,2015-11-05T00:00:00-08:00,7
3,30,2015-11-06T00:00:00-08:00,3
3,31,2015-11-09T00:00:00-08:00,0
3,32,2015-11-10T00:00:00-08:00,18
3,33,2015-11-11T00:00:00-08:00,5
3,34,2015-11-12T00:00:00-08:00,4
3,35,2015-11-13T00:00:00-08:00,6
3,36,2015-11-16T00:00:00-08:00,3
3,37,2015-11-17T00:00:00-08:00,4
3,38,2015-11-18T00:00:00-08:00,5
3,39,2015-11-19T00:00:00-08:00,0
3,40,2015-11-20T00:00:00-08:00,2
3,41,2015-11-23T00:00:00-08:00,2
3,42,2015-11-24T00:00:00-08:00,5
3,43,2015-11-25T00:00:00-08:00,3
3,44,2015-11-26T00:00:00-08:00,0
3,45,2015-11-30T00:00:00-08:00,0
3,46,2015-12-01T00:00:00-08:00,5
3,47,2015-12-02T00:00:00-08:00,3
3,48,2015-12-03T00:00:00-08:00,0
3,49,2015-12-04T00:00:00-08:00,4
3,50,2015-12-07T00:00:00-08:00,11
3,51,2015-12-08T00:00:00-08:00,15
3,52,2015-12-09T00:00:00-08:00,4
3,53,2015-12-10T00:00:00-08:00,21
3,54,2015-12-11T00:00:00-08:00,5
3,55,2015-12-14T00:00:00-08:00,3
3,56,2015-12-15T00:00:00-08:00,9
3,57,2015-12-16T00:00:00-08:00,9
3,58,2015-12-17T00:00:00-08:00,0
3,59,2015-12-18T00:00:00-08:00,1
3,60,2016-01-04T00:00:00-08:00,2
3,61,2016-01-05T00:00:00-08:00,1
3,62,2016-01-06T00:00:00-08:00,3
3,63,2016-01-07T00:00:00-08:00,4
3,64,2016-01-08T00:00:00-08:00,4
3,65,2016-01-11T00:00:00-08:00,13
3,66,2016-01-12T00:00:00-08:00,3
3,67,2016-01-13T23:35:00-08:00,1
3,68,2016-01-14T00:00:00-08:00,5
3,69,2016-01-15T23:30:00-08:00,5
3,70,2016-01-18T23:00:00-08:00,1
3,71,2016-01-19T23:00:00-08:00,5
3,72,2016-01-20T23:00:00-08:00,13
3,73,2016-01-21T23:00:00-08:00,5
3,74,2016-01-22T23:00:00-08:00,6
3,75,2016-01-25T23:00:00-08:00,2
3,76,2016-01-26T23:00:00-08:00,7
3,77,2016-01-27T23:00:00-08:00,13
3,78,2016-02-03T23:00:00-08:00,7
3,79,2016-02-04T23:00:00-08:00,14
3,80,2016-02-05T23:00:00-08:00,3
3,81,2016-02-08T23:00:00-08:00,2
3,82,2016-02-09T00:00:00-08:00,3
3,83,2016-02-10T00:00:00-08:00,5
3,84,2016-02-11T00:00:00-08:00,6
3,84,2016-02-14T00:00:00-08:00,6
3,85,2016-02-15T00:00:00-08:00,5
3,86,2016-02-16T23:00:00-08:00,4
3,87,2016-02-17T23:00:00-08:00,5
3,88,2016-02-18T23:00:00-08:00,2
3,89,2016-02-19T23:30:00-08:00,4
3,90,2016-02-22T23:00:00-08:00,7
3,91,2016-02-23T23:01:00-08:00,2
3,92,2016-02-24T23:00:00-08:00,7
3,93,2016-02-25T23:30:00-08:00,5
3,94,2016-02-26T00:00:00-08:00,4
