season,episode_number,rating,rating_count
9,141,8.0,7
2,142,7.4,8
4,142,N/A,N/A
5,142,7.2,6
6,142,N/A,N/A
8,142,8.0,5
9,142,N/A,N/A
2,143,7.4,8
4,143,N/A,N/A
6,143,6.4,5
8,143,7.7,9
9,143,7.6,5
10,143,7.7,7
2,144,7.4,8
4,144,7.2,5
5,144,7.0,5
6,144,N/A,N/A
8,144,7.1,9
9,144,8.0,5
2,145,7.5,8
4,145,6.8,9
5,145,7.0,8
6,145,7.6,5
8,145,7.1,10
9,145,8.1,7
2,146,7.4,8
4,146,5.6,5
5,146,7.0,5
6,146,7.4,5
9,146,7.7,7
2,147,7.2,9
4,147,N/A,N/A
6,147,7.4,5
8,147,7.8,9
9,147,7.7,7
10,147,7.5,8
2,148,7.5,8
4,148,N/A,N/A
5,148,N/A,N/A
6,148,7.5,8
8,148,7.4,10
9,148,8.0,7
10,148,7.8,5
2,149,7.2,8
4,149,7.2,5
5,149,N/A,N/A
6,149,7.8,5
8,149,7.6,10
9,149,N/A,N/A
2,150,7.4,8
4,150,7.4,5
5,150,7.4,5
6,150,6.8,6
8,150,7.8,9
9,150,N/A,N/A
2,151,7.2,8
4,151,6.8,5
6,151,7.8,8
8,151,7.1,11
9,151,8.5,8
2,152,7.2,8
4,152,7.1,8
6,152,7.8,5
8,152,8.2,5
2,153,7.0,9
4,153,N/A,N/A
6,153,7.8,5
8,153,7.8,5
9,153,8.4,7
10,153,7.3,7
2,154,7.2,8
4,154,N/A,N/A
6,154,7.7,9
9,154,7.6,5
10,154,7.4,10
2,155,7.6,9
4,155,7.4,5
6,155,7.0,10
8,155,8.0,8
9,155,8.7,7
2,156,6.7,9
4,156,6.0,10
6,156,8.2,11
2,157,7.4,8
4,157,7.1,9
5,157,N/A,N/A
6,157,7.2,5
2,158,7.4,8
4,158,8.1,9
5,158,7.6,5
6,158,7.8,6
2,159,7.4,8
4,159,N/A,N/A
5,159,7.8,9
6,159,7.2,8
2,160,7.6,9
4,160,6.9,9
5,160,8.0,10
6,160,7.2,5
2,161,7.9,9
5,161,7.5,10
6,161,7.8,6
9,161,8.3,7
9,162,N/A,N/A
10,168,6.8,5
9,170,8.2,5
10,175,7.5,10
8,178,7.8,5
10,182,7.3,7
8,188,7.9,8
10,189,8.3,10
9,190,N/A,N/A
9,192,N/A,N/A
10,209,N/A,N/A
10,210,7.7,10
10,217,7.6,8
10,224,7.6,5
10,231,N/A,N/A
10,252,8.4,5
10,259,N/A,N/A
10,266,N/A,N/A
