season,episode_number,rating,rating_count
5,32,N/A,N/A
6,32,N/A,N/A
7,32,N/A,N/A
8,32,5.4,9
9,32,5.7,11
10,32,5.8,9
11,32,7.2,8
12,32,7.3,9
13,32,7.5,8
14,32,7.6,17
15,32,6.9,16
16,32,7.4,10
17,32,7.2,13
18,32,6.9,17
19,32,8.0,17
20,32,7.3,24
1,33,N/A,N/A
2,33,N/A,N/A
3,33,N/A,N/A
4,33,N/A,N/A
5,33,N/A,N/A
6,33,N/A,N/A
7,33,6.1,7
8,33,N/A,N/A
9,33,5.1,10
10,33,7.0,9
11,33,6.6,9
12,33,6.3,10
13,33,6.0,11
14,33,N/A,N/A
15,33,7.1,19
16,33,7.1,8
17,33,7.3,17
18,33,6.6,14
19,33,7.7,18
20,33,7.4,23
1,34,N/A,N/A
2,34,N/A,N/A
3,34,N/A,N/A
4,34,N/A,N/A
5,34,N/A,N/A
6,34,N/A,N/A
7,34,N/A,N/A
8,34,N/A,N/A
9,34,6.9,7
10,34,6.1,10
11,34,7.5,11
12,34,5.8,10
13,34,7.0,7
14,34,7.7,9
15,34,6.8,16
16,34,7.1,8
17,34,7.2,17
18,34,6.4,12
19,34,7.7,20
20,34,6.8,19
1,35,N/A,N/A
2,35,N/A,N/A
3,35,N/A,N/A
4,35,N/A,N/A
5,35,N/A,N/A
6,35,N/A,N/A
7,35,N/A,N/A
8,35,N/A,N/A
9,35,6.2,8
10,35,7.0,9
11,35,5.9,10
12,35,6.5,12
13,35,7.3,10
14,35,7.3,11
15,35,7.6,17
16,35,7.5,14
17,35,7.1,12
18,35,6.5,13
19,35,8.0,19
20,35,7.6,19
1,36,N/A,N/A
2,36,N/A,N/A
3,36,N/A,N/A
4,36,N/A,N/A
5,36,N/A,N/A
6,36,N/A,N/A
7,36,6.9,7
8,36,N/A,N/A
9,36,7.3,10
10,36,7.1,7
11,36,7.0,9
12,36,6.0,10
13,36,6.4,12
14,36,8.6,18
15,36,6.4,16
16,36,6.8,17
17,36,7.1,21
18,36,6.4,15
19,36,8.1,19
20,36,6.7,18
1,37,N/A,N/A
2,37,N/A,N/A
3,37,N/A,N/A
4,37,N/A,N/A
5,37,N/A,N/A
6,37,N/A,N/A
7,37,N/A,N/A
8,37,5.8,9
9,37,5.9,8
10,37,7.5,11
11,37,7.4,7
12,37,5.3,11
13,37,6.3,10
14,37,7.8,6
15,37,7.1,17
16,37,6.8,14
17,37,7.1,14
18,37,6.9,16
19,37,8.0,18
20,37,7.1,21
1,38,N/A,N/A
2,38,N/A,N/A
3,38,N/A,N/A
4,38,N/A,N/A
5,38,N/A,N/A
6,38,N/A,N/A
7,38,7.4,8
8,38,N/A,N/A
9,38,6.2,8
10,38,7.0,9
11,38,7.0,8
12,38,6.3,11
13,38,6.7,10
14,38,6.9,8
15,38,7.1,17
16,38,6.2,12
17,38,7.4,15
18,38,7.3,16
19,38,7.6,18
20,38,6.9,25
